countryname,countrycode,indicatorname,indicatorcode,attribute,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Yemen, Republic of",474,Corporate Income Tax Revenue as a Percent of GDP,RTIC_RM_GDP,Value,2.957596064,,1.741371989,1.819895148,2.365726233,1.902935266,3.539998293,3.910462856,,2.883119583,,,3.47639823,3.465320826,3.60344696,3.132054567,1.105573893,1.059105515,1.149014354,1.216122985,0.976201892,0.975902498,0.910216153,,
Portugal,182,Corporate Income Tax Revenue as a Percent of GDP,RTIC_RM_GDP,Value,2.097092628,2.445166826,2.38242507,2.024324894,2.037899017,2.336593866,2.720828772,3.094847441,3.081100464,3.514642477,3.759919882,3.298956394,3.323870659,2.809139013,2.891667366,2.703914165,2.957454681,3.614346027,3.646480083,2.841703176,2.869518995,3.256150723,2.894838333,3.384043217,2.970732689
Bhutan,514,Excise Tax Revenue as a Percent of GDP,RTGSE_RM_GDP,Value,2.113561392,2.421182394,2.433162451,2.246953964,2.331335783,2.088156939,1.984382033,0.817709684,1.817730069,1.080690265,2.470355034,0.617312729,1.831399441,2.388638973,0.425139785,1.664633036,2.290904522,1.152457237,1.684604526,1.794285893,1.88841188,2.02705574,3.060853243,3.282083035,2.097387075
Barbados,316,Excise Tax Revenue as a Percent of GDP,RTGSE_RM_GDP,Value,,,,,,,,,,,,,,1.743627667,2.176775217,2.209047318,1.751176834,1.796290994,1.796013951,1.598346949,1.661098361,1.846896529,1.6372298,1.348199487,
Luxembourg,137,Corporate Income Tax Revenue as a Percent of GDP,RTIC_RM_GDP,Value,5.626111507,5.131883621,4.355002403,5.912040234,6.011399746,6.531647205,6.762542725,7.441581249,7.614504814,6.657803059,6.608054161,7.016046047,7.776334763,7.312853336,5.680130959,5.894835472,5.029381275,5.376960278,5.321212292,5.721736908,5.845700264,5.087809086,5.180536747,4.754487514,4.370817184
Czech Republic,935,Excise Tax Revenue as a Percent of GDP,RTGSE_RM_GDP,Value,,,,,,3.403549671,3.20403266,3.120138168,3.005292177,3.192240715,3.009487391,2.996590614,2.979622602,3.129950047,3.247090816,3.392724037,3.418907642,3.483785868,3.388244629,3.498457432,3.500594378,3.722985029,3.753913403,3.673191071,2.930609465
Slovak Republic,936,Corporate Income Tax Revenue as a Percent of GDP,RTIC_RM_GDP,Value,,,,,,5.920566559,4.221160412,3.567548752,3.178580999,3.052354574,2.572851658,2.560753822,2.484207392,2.700766087,2.542091846,2.675624371,2.850002766,2.918776512,3.055356503,2.471026421,2.462233067,2.412123919,2.36782527,2.86832428,3.015330791
Dominican Republic,243,Excise Tax Revenue as a Percent of GDP,RTGSE_RM_GDP,Value,0.606422901,0.584313512,1.921615362,2.11170578,1.861673594,2.176633596,2.145972252,2.577512026,2.631542444,1.933410883,1.56203723,2.640103579,2.577358246,2.114464045,1.855589151,2.496020555,3.261278868,3.566808701,3.451630592,3.032424927,3.039358854,3.028012514,2.987709284,2.836762667,2.792655706
Sweden,144,Corporate Income Tax Revenue as a Percent of GDP,RTIC_RM_GDP,Value,1.561269522,1.664739847,1.291825771,1.971628904,2.408748388,2.643979788,2.52796936,2.821032047,2.624659538,2.81233716,3.687363625,2.627533197,2.127476931,2.266052961,2.861884117,3.507983208,3.461189508,3.516394377,2.822757721,2.829094172,3.2897861,3.091639519,2.572211266,2.642113924,2.582073927
Egypt,469,Excise Tax Revenue as a Percent of GDP,RTGSE_RM_GDP,Value,2.99063468,3.033273458,4.514018536,4.577834606,4.617142677,4.574999809,4.555361748,4.403188229,4.497216225,,,,1.14515698,1.316646695,1.076447606,1.114577532,1.05020237,0.86987108,0.803015053,1.388792992,1.290112734,1.690394521,1.65382421,1.741344929,1.229675651
Cambodia,522,Excise Tax Revenue as a Percent of GDP,RTGSE_RM_GDP,Value,,,,,,,,,,,,,1.253601313,1.066315889,1.419921279,1.475510836,1.399146438,1.75976491,2.07430625,1.674926639,1.917971969,1.988246918,2.224473238,2.16474247,2.778255939
El Salvador,253,Excise Tax Revenue as a Percent of GDP,RTGSE_RM_GDP,Value,1.362244606,1.325550795,1.175541997,0.94695878,0.68640548,0.630493104,0.553535938,0.495747536,0.394723684,0.413166791,0.370790541,0.368458003,0.918506742,0.854267061,0.913389444,0.949467063,0.900774658,0.839596331,0.904194832,0.978795826,1.017681122,1.02659142,1.100665212,1.024565816,0.930586517
Togo,742,Corporate Income Tax Revenue as a Percent of GDP,RTIC_RM_GDP,Value,,,,,,,,,,,,,,,2.185809612,1.204635024,1.844272256,1.745295763,1.512445927,2.361572266,0.854921937,1.092339873,1.054920673,1.473294735,
Latvia,941,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,,,,,2.275012732,6.551124096,6.643610477,7.258293152,7.537024021,7.495446682,7.08791399,7.383372307,7.424235821,6.993580341,7.329085827,7.288655758,7.736409664,8.238744736,8.957382202,6.892170429,7.110880852,7.002268791,7.313483238,7.275812626,7.319283009
Algeria,612,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,3.595132351,3.10191083,3.348832607,3.75404644,3.653712749,2.967153311,2.678719521,2.800974607,3.190501451,22.01020432,21.79065323,26.39451218,12.40914154,25.34907341,15.92020321,10.52300358,10.59161282,10.65437984,,,
Brazil,223,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,0.33897683,0.146110609,0.138952255,0.208001614,0.268216729,0.287107229,0.277386844,0.277705133,0.281937152,0.280221492,0.284048021,0.284779251,0.281623036,0.282566845,0.300366223,0.321617603,0.332860619,2.213450432,2.36796093,2.219068289,2.260196209,2.385542393,2.420774221,2.370473146,2.469316483
Belarus,913,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,12.36530685,12.14213181,11.79789829,31.02740669,11.43384647,13.09110165,,,,10.37910175,9.605800629,19.53396034,19.09060669,18.59572411,18.579422,17.53224945,15.99198055,14.67335892,14.14983273,11.81039524,12.02465153,12.73838234,13.50984669
Colombia,233,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,0.166621119,0.227715597,0.174065262,0.14270179,0.124737464,0.129402056,0.119600013,0.119445845,0.127976775,0.137751281,0.719003558,0.820096254,0.834907532,0.917761385,0.956498742,1.056703687,1.079664707,1.102270603,1.047871232,1.036335349,0.952863872,1.030810833,1.029608488,1.120027184,1.167433858
Philippines,566,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,4.549030781,4.010231972,4.190153599,4.330848694,4.410696983,4.116864681,4.569129944,4.961024284,4.359172821,4.283247948,3.99635601,3.842958212,3.588911533,3.55269146,3.376079798,3.334419489,3.900859118,3.62444663,3.25257206,3.497457743,3.268625498,3.174447775,3.45636797,3.819174528,3.814846754
Angola,614,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,,,,,,,,,,0.730972886,0.933258653,0.866874039,0.74096936,1.061918378,0.864430249,0.823242903,0.772926867,0.788573921,0.809227347,1.038365126,0.995662689,0.91327858,1.08223021,1.273511767,1.445257187
Sri Lanka,524,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,2.204630852,2.524595976,2.493397951,2.643485308,2.550811052,2.484827042,2.612084389,2.340159178,1.940381289,2.467774868,2.110957861,2.37953949,2.299397945,2.161738873,1.978725314,2.141853571,2.738780737,2.994616985,2.868966818,2.886236668,2.42005682,2.404118538,2.277373791,2.371086836,2.024744034
Lesotho,666,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,4.689207077,7.564618111,7.558887959,6.552601814,7.947350979,8.364386559,8.082502365,8.134859085,8.389014244,8.371845245,8.464823723,9.213635445,9.442206383,11.27185726,11.00133514,10.28616905,9.640357971,10.30932522,11.24360561,,11.8805418,12.99500561,12.13541508,14.32454777,
Austria,122,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,8.254156113,8.655732155,8.897125244,9.032663345,8.208720207,8.586220741,9.043633461,9.55139637,9.658185959,9.743885994,9.329385757,9.934907913,9.664039612,9.680187225,9.432822227,8.997056007,9.008635521,9.116636276,9.594220161,9.137835503,9.197356224,9.249258041,9.553220749,9.748052597,10.13661098
Brazil,223,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,4.99143362,3.647894859,4.424942017,4.629632473,4.89488554,5.09760952,4.96266222,4.819927692,5.413871765,5.698388577,5.726578236,6.01494503,6.312115192,6.280315399,6.138682842,6.878766537,6.760780811,7.081248283,7.536796093,7.032605171,6.658465385,7.186159611,6.688869476,6.782106876,6.714277267
Argentina,213,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,0.013936033,0.018468311,0.250967324,0.47816661,0.623030365,0.657164633,0.817249,0.770930111,0.827055931,0.898373961,1.155425906,1.148849249,0.949284196,1.109736919,1.160259604,1.265649319,1.235108972,1.243698597,1.371907711,1.386726141,1.324254632,1.594717264,1.970439911,2.342859268,2.835758448
Antigua and Barbuda,311,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,,,,,,,,,,,1.771435857,2.278421164,2.83455658,2.760682106,1.912655115,2.368813038,3.638296127,2.899438858,3.06386447,3.009043217,3.015061378,2.283634901,2.377098083,2.6469028,2.154292583
Poland,964,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,,7.900935173,11.65437603,12.75789642,11.82398319,11.17068577,10.63096428,10.31234455,10.19434261,7.309725285,6.753020763,6.028114796,6.160493851,5.900488377,5.958765507,6.446317673,7.01796484,7.903364182,8.025619507,6.819914818,6.299116135,6.352146626,6.536557198,6.252759457,
Nepal,558,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,0.849391401,0.577857792,0.533718109,0.622479022,0.902651072,1.169185638,1.244682431,1.313008547,1.41686058,1.572493553,1.710630894,1.929024339,1.75604105,1.397576213,1.513426065,1.49138546,1.400797009,1.885599256,2.03845191,2.433723927,2.835519552,3.154549837,3.358983278,3.786800861,3.894072533
Australia,193,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,12.10033703,11.26043224,10.99948406,11.27934647,11.33395672,11.84502697,12.20623016,12.3596096,13.40444756,13.72531509,11.85254669,12.37146664,12.12209415,12.40006924,12.59314537,12.32894707,11.54637718,11.31690979,10.33386135,9.919109344,10.19882774,10.55532169,10.8274374,10.95333004,
Russian Federation,922,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,6.026526928,7.684844017,,,7.417363644,7.207704544,7.641110897,9.512131691,11.50461102,9.870946884,8.032232285,8.02905941,6.65299511,8.006614685,6.187252998,6.707257271,6.53680706,7.061453819,7.266572952,7.180830002,7.368753433
Lithuania,946,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,,,,6.357637405,5.321830273,8.275028229,7.876319408,8.656929016,8.904143333,9.043945313,8.323560715,7.730467796,7.390892029,7.877072811,8.604063034,8.909716606,9.519386292,9.039084435,9.193246841,5.889662266,4.575610161,4.306169033,4.780727386,4.939094543,5.026753902
Singapore,576,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,6.491526604,6.835792065,7.570372105,7.443654537,6.875608921,6.538214207,6.675529003,6.383658409,6.644576073,6.887526035,7.47317028,7.731876373,6.60329628,5.788901329,5.213949203,5.499495506,5.612876892,5.507101059,7.080289841,6.138470173,5.784134388,5.933879852,6.175129414,5.812105179,6.13034296
Peru,293,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,1.461341858,2.616769552,3.706492424,5.068359852,5.689346313,5.942093849,5.85635376,5.835993767,5.871409416,5.463001251,5.350231171,5.115342617,5.209750175,5.498692036,5.777654648,5.981426716,6.060599804,6.213797092,7.058839798,6.278024673,6.836227417,6.715744972,6.667500496,6.801976681,7.000227928
Liberia,668,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,,,,,,,,,,,,,,,,4.203813553,3.307369471,4.517784595,5.389772415,,5.430846214,6.204297543,7.288620949,8.229270935,
"Yemen, Republic of",474,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,4.16334343,,2.899041176,3.183571577,3.554978371,3.014749527,4.757795811,5.156685352,,4.222860336,,,5.403440952,5.194972992,5.334173203,4.899484158,3.276562452,3.353219271,3.587263584,3.921654701,3.048352718,3.129253626,2.89696908,,
Luxembourg,137,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,14.01851368,12.55696392,11.81065845,13.43262768,13.87699795,14.53917885,14.87958622,15.51283646,15.09737396,13.81657028,13.38987255,13.76831722,13.94737911,13.84419537,12.2794466,13.16450882,12.64968777,12.66104698,13.38645935,13.76340389,13.8324728,13.48261738,13.66880703,13.4824028,13.27793694
Argentina,213,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,0.462955028,0.963584185,1.238252878,1.695478559,2.03709197,2.09303546,2.142824411,2.418850183,2.682487011,2.966428995,3.317483902,3.326449156,2.549108028,3.59320116,4.397117138,4.511656284,4.299322128,4.304908276,4.262151241,4.030177593,4.330997467,4.762914658,5.066143036,5.451366901,6.096399307
Bangladesh,513,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,,,,,,,,,,,,0.428333342,0.499351025,0.60277617,0.588240921,0.590675533,0.617230535,0.878361464,1.107499719,0.851330459,1.010921597,0.953724563,0.841878295,0.817054152,
Algeria,612,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,,,,,1.59943521,1.547489047,1.292684793,1.466764927,1.502531052,1.00486505,0.846271396,1.076388121,1.165207386,1.52068615,1.554487705,1.391430855,1.131311655,1.336485863,1.4099437,1.843155026,2.041435242,2.635742664,,,
St. Vincent & Grens.,364,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,5.131079674,6.33684063,5.82297039,5.62719965,6.654007435,5.789811611,6.24565506,6.496417999,7.226596832,6.692313194,6.682499409,6.101839066,7.045308113,5.919391155,5.703904629,6.039809704,5.991033554,5.888600349,5.879225254,6.055757523,5.915811539,6.266492367,6.542791843,5.727492809,6.965304375
"Congo, Dem. Rep. of",636,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,,,,,,,,,0.124705859,0.118815623,0.064219721,0.251467764,0.430112004,0.48182869,0.510216415,0.499042839,0.742289484,0.850669503,1.22170949,1.148858428,1.240456343,,,,
Madagascar,674,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,1.477008581,1.302507401,1.289088368,1.605977416,1.650385499,1.244929552,1.592041612,1.824362993,,,1.78148973,1.992086649,1.755883932,1.093217969,1.262486339,1.541535139,1.98532784,1.452746153,2.384195089,2.766833067,2.687259674,2.589522839,2.354228497,2.428869009,2.37199235
Sierra Leone,724,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,1.210707545,1.302166462,1.97825861,2.108030081,1.945157409,1.060810566,0.905628622,1.235332608,0.891104102,1.284143209,2.047426701,2.51090169,2.389757156,2.322513819,2.495988607,2.421512127,2.465214491,2.268162966,2.617560148,2.550475597,2.954732895,3.710338593,4.726818085,4.352437019,3.995838642
Slovak Republic,936,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,,,,,,10.12340927,8.880391121,8.584357262,8.396668434,8.427780151,6.9029212,6.960539818,6.547270775,6.58300066,5.975267887,5.907304764,6.036756516,6.113188267,6.423416138,5.525702,5.343933105,5.454390526,5.529824734,6.012973309,6.259942532
Namibia,728,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,6.52933836,7.309389114,9.314304352,8.982530594,9.805178642,10.18281555,8.940074921,8.899456978,8.892832756,9.396679878,7.297264099,6.979966164,6.103361607,5.33584404,5.000154495,7.42027235,6.241868496,5.980475426,6.188280582,6.863685131,6.398122787,8.865073204,,,
"Azerbaijan, Rep. of",912,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,,,,,,,2.799316883,3.039081573,3.898141384,3.843197107,,,,,,,,,9.237586021,5.435164452,4.791239738,5.617944717,5.718357086,5.65170002,5.69435358
Belize,339,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,2.526391268,2.579535723,2.809175968,2.948100805,2.931133509,1.917204738,1.929920435,,,,,,,,,,,,,,,,,,
Lithuania,946,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,,,,1.945462227,3.314881325,6.232326984,6.14735651,7.126878262,7.617222786,8.223068237,7.647098064,7.200950623,6.80410099,6.507838249,6.751458645,6.830616474,6.765015125,6.510354519,6.478014946,4.073129177,3.589012623,3.496914387,3.481212378,3.575450182,3.650315285
Dominica,321,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,,,,,,,,,,,3.909521341,3.276890755,3.156863928,3.107001066,2.773749828,3.080868959,3.13189435,3.26971221,2.829166412,2.428624153,2.223450422,2.480206966,2.441384315,2.508215189,2.316517591
South Africa,199,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,8.099106789,9.038255692,8.573643684,8.678375244,8.590722084,8.988951683,9.375034332,9.796790123,10.24543858,10.34912109,9.186980247,8.69641304,7.798137665,7.48397541,,,,,,8.234074593,,,,,
Swaziland,734,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,,,,,,3.112883329,0.895865321,1.206927776,1.150611043,0.687094569,0.673069358,0.643575191,0.802729011,0.674674213,1.091397405,1.111126661,0.698765099,0.883749485,5.156969547,,
Malaysia,548,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,1.989219785,2.059859276,2.12652874,2.297271729,2.175797939,2.59640789,2.265153646,2.124481678,2.268475771,1.987404943,1.832749367,2.492162466,2.403030634,1.775382161,1.763408303,1.540626526,1.654281855,1.696988702,1.882088304,2.117592573,2.16754508,2.215889931,2.365711927,2.26287055,2.207051516
India,534,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,1.826812267,2.209461927,2.2597785,2.232893467,2.548607826,2.711284399,2.713565111,2.437175989,2.552598953,2.845047712,3.117231607,2.92048049,3.263104916,3.693538904,4.072345257,4.38835144,5.234095097,6.253527164,5.674646378,5.666712284,5.624605179,5.518234253,5.637420654,5.821405888,
Luxembourg,137,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,8.392412186,7.425080776,7.455656052,7.520580292,7.865597725,8.007531166,8.117043495,8.071249008,7.482868671,7.1587677,6.781818867,6.752266884,6.171044827,6.53134203,6.599315166,7.269673347,7.620306492,7.284087181,8.065247536,8.041666985,7.986773014,8.394805908,8.48827076,8.72791481,8.907119751
Ghana,652,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,0.604843855,0.45835948,0.429554731,0.768778384,,,,,,,,1.271929264,1.236091852,1.823978662,1.67567575,1.763322592,1.853795171,1.958182335,1.971371889,2.31231761,2.421220779,2.496530294,,,
Malaysia,548,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,5.05401516,5.149992943,5.197975636,5.400319099,5.671748638,5.872159481,5.859598637,5.818284035,4.180570602,4.497250557,4.036411762,4.732504845,4.3832407,3.73577404,3.510905266,3.84399581,3.247889757,3.059836626,3.187372923,3.377057791,3.25408268,3.129863739,3.135749578,3.040269136,2.973105431
"Iran, I.R. of",429,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,0.412777752,0.410891891,0.415244848,0.727388322,0.810839951,0.9530316,,,,1.125363231,1.086991906,1.173117518,0.807600141,0.724028945,0.751626968,0.77533704,0.821517944,0.830080986,0.844986439,0.865716755,,,,,
Malta,181,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,3.987076998,3.442039967,3.708605289,4.343123913,4.510318756,5.494371891,4.679308891,5.363516808,4.897906303,5.494205952,4.760332584,5.622936726,6.079875469,5.973212719,6.290868759,6.337138653,6.680847645,5.932973385,5.733863831,6.3812356,5.907259464,6.380522251,6.559580803,6.962455273,7.080931187
Finland,172,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,14.90209389,14.9603529,14.29665756,14.42449188,15.38343239,13.83903217,14.94776726,13.83864403,13.45330906,13.00906563,14.03057957,13.58859539,13.52608776,13.13263226,12.73181629,12.90308857,12.76721478,12.53912449,12.69571686,12.71122265,12.04970646,12.28278732,12.50744534,12.78554535,13.40540218
"Korea, Republic of",542,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,6.172327042,5.462547302,5.461460114,5.297811508,5.459634304,,5.633540154,5.075140476,5.908919334,4.889466286,6.179936886,5.750802517,5.591524601,6.338269234,6.111983776,6.589386463,6.951573849,7.882903099,7.634367943,6.763607979,6.552159786,7.26693058,7.400886536,7.12108326,7.161441803
Ethiopia,644,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,3.413326025,2.767868996,2.169612646,1.777451634,2.170472383,2.52862215,3.000733614,3.124043703,3.491693974,3.480576754,,2.29658103,2.854744434,2.247255564,1.730224729,1.570204496,1.557255149,1.52108717,1.518713832,1.538377285,2.164541245,2.410106182,,,
Georgia,915,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,,,,,,,,0.620941281,0.777747691,0.792601645,0.520561934,0.2783162,0.248153478,1.786528945,2.735056162,2.50151825,2.799147367,3.099369526,6.79585886,6.220965385,5.794624329,6.371593952,6.744299412,7.204806805,6.64269352
Thailand,578,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,7.874071121,8.408815384,7.348944664,7.223729134,7.376670361,7.905995846,8.426111221,8.607096672,8.653342247,7.729745865,7.451627731,7.569376945,7.892409325,8.478904724,8.567381859,9.174469948,8.382681847,8.129796028,7.703773022,7.506020069,8.553531647,9.056943893,8.551860809,10.14902401,9.438508987
Panama,283,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,3.495290041,3.639277458,3.82152915,2.733945847,2.694171429,1.614542007,1.316924691,1.510112047,2.061252356,2.378153086,2.194744825,2.111379385,2.10463953,2.281274319,2.190386772,1.961804867,2.071280479,2.09510684,3.230045319,3.238514662,3.840426445,4.30987072,4.212011337,4.062027931,4.023758888
Bhutan,514,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,0.34718442,0.364712059,0.296253324,0.477676153,0.639480829,0.649050832,0.648018897,0.734171569,0.738557816,0.765147448,1.173983335,1.289932489,1.30576086,1.271590829,1.328586459,0.249004975,0.295247883,0.387105703,0.507967591,0.668065846,0.986681819,1.022905469,1.140066504,1.185720205,1.180085063
Mali,678,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,,,,,,,7.382682323,7.536531925,8.455692291,7.996562004,8.853043556,8.454898834,8.578206062,7.364471436,5.824397564,6.277320385,6.034543514,6.254964352,5.857697964,6.433727264,
Pakistan,564,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,,,,,0.307974607,0.505541027,0.534846544,0.458712459,0.443736345,0.471995384,0.424713254,0.414311796,0.480544865,0.446094543,0.411234319,,3.799244404,3.378346682,3.418168783,3.358718395,3.500370979,3.296593904,3.641533375,4.084187031,3.49811697
Germany,134,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,9.546731949,9.62703228,10.11563683,9.769591331,9.638224602,9.956873894,8.827529907,8.490358353,8.874336243,9.062228203,9.174339294,9.497192383,8.633769035,8.268395424,7.755767345,7.807732582,8.356669426,8.707838058,9.380108833,9.077219009,8.47767067,8.832275391,9.333395958,9.531128883,9.509783745
"Macedonia, FYR",962,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,,,,,,,,,,,,,,,,2.627282143,2.548061371,2.405939579,2.095977306,2.100708485,2.02882719,2.049393892,2.046911955,,
Kyrgyz Republic,917,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,,,,5.677229881,5.484636307,4.461268902,2.894905329,2.23966527,2.609292984,2.361322403,2.110685825,2.718476295,,,,,2.002568483,2.14248538,2.45483017,2.858431101,4.712769508,4.887891769,4.769320965,3.437487364,3.49890852
Belarus,913,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,,,3.655829906,4.781725883,6.953858376,15.22127247,2.357808113,3.064497709,,,,2.728792667,1.749044776,6.30151844,7.023685455,7.559382439,7.750288486,7.682501793,8.611016273,7.007082939,7.187975883,6.247087002,7.505324364,7.711735249,6.904885292
Sri Lanka,524,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,0.888522983,0.919002771,0.924651206,1.02038765,0.938542187,1.065401673,0.936528802,0.924138606,0.820736945,0.862545311,0.899523139,0.959208012,0.743992925,0.552712023,0.642564416,0.621783733,0.724236727,0.452987254,0.528852463,0.583811581,0.553032219,0.378780603,0.27799499,0.315164983,0.31201309
Mauritius,684,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,1.462334156,1.219204903,1.105101466,1.193109989,1.03488791,1.183696032,1.273223162,1.42237103,1.254220486,1.245889425,1.258066654,1.129459143,1.116126418,1.145476937,1.251739502,1.334006429,1.296780467,0.955868483,1.241524339,1.435503006,1.503192186,1.521093726,1.550668478,1.697073936,1.825783134
Egypt,469,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,3.238293409,3.262589931,4.728971958,4.794917107,4.827428341,4.77352953,4.751961708,4.611975193,4.690674782,6.041612625,5.905615807,5.796766281,5.614409924,5.615089893,5.529363155,5.89470768,5.670471191,5.356699944,5.61488533,6.063711166,6.092284203,6.081999779,6.040558338,6.093024731,5.342360973
Greece,174,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,3.555419683,3.217538357,2.772837877,2.586134911,2.97398591,3.343928814,3.361816645,3.735074043,4.6494174,4.846560478,4.827099323,4.359567165,4.3802495,4.203907013,4.263457775,4.562291145,4.463834763,4.65029335,4.663002491,4.853199959,4.382142067,4.839418411,7.09817791,6.144498825,
Bosnia & Herzegovina,963,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,,,,,,,,,,,,,,0.644731402,0.806010425,,0.227713108,0.565625787,0.264477938,0.990936518,1.670572996,1.979789138,2.050267696,2.017517805,1.90129745
Niger,692,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,,,,,,,,,,,,2.490238667,2.850217342,3.458361626,,,,,,,
Belgium,124,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,15.62989998,15.39156246,14.83102036,15.84593678,16.15835571,16.24160385,16.20557213,16.59548378,17.15611267,16.64798164,16.81525993,17.01748466,16.88883781,16.42254257,16.39699745,15.69358349,15.53452301,15.31841755,15.5894146,14.36244678,14.57573986,14.97532463,15.29967022,15.98774147,16.10591316
Fiji,819,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,9.956565857,10.21841335,8.503670692,7.579218864,7.074913979,8.137067795,7.907965183,,,,,,,,7.079041481,6.933009624,8.3048172,,,,7.06908989,7.316714287,7.150317669,5.957967281,
Papua New Guinea,853,Individual Income Tax Revenue as a Percent of GDP,RTII_RM_GDP,Value,6.314934254,6.159584999,6.173573494,4.376528263,3.989837646,4.618447781,5.119431019,5.888496399,6.238402843,6.500872135,3.393475533,,5.809907436,,,,,,,,,,,,
Ukraine,926,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,,,,,,8.446883202,8.734033585,9.336474419,8.584355354,7.480839252,7.116299152,10.1879406,11.63030243,10.32815647,11.44794655,12.07880974,11.50512886,13.43623161,13.47128773,12.90433121,13.70087242
